Faixa Etária;Masculino;Feminino;Total
Menor 1 ano;91577;88479;180056
1 a 4 anos;364082;350414;714496
5 a 9 anos;482426;463760;946186
10 a 14 anos;460999;445412;906411
15 a 19 anos;403599;400123;803722
20 a 29 anos;798120;816691;1614811
30 a 39 anos;706024;731470;1437494
40 a 49 anos;498738;517523;1016261
50 a 59 anos;337018;366913;703931
60 a 69 anos;222308;266118;488426
70 a 79 anos;101981;142215;244196
80 anos e mais;29173;53507;82680
Total 1991;4496045;4642625;9138670
